numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
199513653S;LABORATOIRE DE GENIE DES PROCEDES (LGdP);EA1954;Inactive;1995;2002;Unité propre;21;2;200314974T;F;fusion;2003
199513657W;CENTRE HISTORIQUE ET JURIDIQUE DES DROITS DE L'HOMME;EA1964;Inactive;1995;2006;Unité propre;21;2;;;;
199513663C;DEVELOPPEMENT COGNITIF NORMAL ET TROUBLE;EA1972;Inactive;1995;2006;Unité propre;21;2;;;;
199713916U;TRAITEMENT AUTOMATIQUE DU LANGAGE NATUREL (TALANA);EA2372;Inactive;1997;2000;Unité propre;21;2;;;;
199713935P;ANTIBIOTIQUES ET FLORE DIGESTIVE;EA2392;Inactive;1997;2009;Unité propre;21;2;;;;
199713941W;MISE EN FORME ET EVALUATION DE MATERIAUX D'INTERET THERAPEUTIQUE ET BIOLOGIQUE;EA2399;Inactive;1997;2000;Unité propre;21;2;;;;
199713946B;CENTRE D'ETUDE ET DE RECHERCHE EN SOCIOLOGIE DES ORGANISATIONS (CERSO);EA2407;Inactive;1997;2008;Unité propre;21;2;;;;
199713947C;CENTRE DE THEORIE ECONOMIQUE JEAN-BAPTISTE SAY;EA2408;Inactive;1997;2000;Unité propre;21;2;;;;
199713948D;INSTITUT DE RECHERCHE INTERNATIONALE : CENTRE DE GEOPOLITIQUE DE L'ENERGIE ET DES MATIERES PREMIERES / GROUPE DE RECHERCHE ECONOMIQUE ET SOCIALE /CENTRE DE RECHERCHE EN ECONOMIE DE L'ASSURANCE;EA2409;Inactive;1997;2008;Unité propre;21;2;;;;
199713954K;EQUIPE SIGNAL ET IMAGE (ESI);EA2418;Inactive;1997;2000;Unité propre;21;2;;;;
199513955V;CENTRE D'ETUDES SUR LA SECURITE INTERNATIONALE ET LES COOPERATIONS EUROPEENNES;CESICE;Active;1995;;Unité propre;21;2;;;;
199613735B;LABORATOIRE INFORMATIQUE IMAGE INTERACTION;EA2118;Active;1996;;Unité propre;21;2;;;;
